Time,X_Kinematics,Y_Kinematics,Z_Kinematics,X_GUI,Y_GUI,Z_GUI
8.72,1399.25,436.53,1734.26,1397.25,437.48,1732.01
8.74,1405.54,433.50,1741.28,1397.25,437.48,1732.01
8.76,1411.52,430.54,1747.95,1408.96,431.82,1745.10
8.78,1417.07,427.75,1754.11,1415.08,428.76,1751.90
8.80,1425.86,423.20,1763.84,1423.45,424.46,1761.18
8.82,1431.52,420.21,1770.08,1429.26,421.41,1767.59
8.84,1437.16,417.15,1776.28,1435.19,418.23,1774.11
8.86,1443.22,413.81,1782.92,1435.19,418.23,1774.11
8.88,1449.26,410.42,1789.51,1446.87,411.77,1786.91
8.90,1454.58,407.36,1795.31,1452.62,408.49,1793.18
8.92,1460.46,403.92,1801.68,1458.36,405.16,1799.41
8.94,1466.46,400.35,1808.17,1458.36,405.16,1799.41
8.96,1480.90,391.45,1823.71,1469.80,398.33,1811.78
8.98,1486.29,388.01,1829.48,1483.94,389.52,1826.97
9.00,1491.80,384.44,1835.36,1489.73,385.79,1833.16
9.02,1497.29,380.82,1841.22,1495.37,382.09,1839.17
9.04,1503.32,376.77,1847.61,1495.37,382.09,1839.17
9.06,1508.92,372.94,1853.54,1506.60,374.53,1851.09
9.08,1514.51,369.05,1859.43,1512.33,370.57,1857.14
9.10,1519.80,365.30,1865.00,1517.90,366.65,1863.01
9.12,1525.62,361.10,1871.11,1517.90,366.65,1863.01
9.14,1531.42,356.85,1877.18,1528.86,358.74,1874.51
9.16,1536.80,352.83,1882.80,1534.79,354.34,1880.70
9.18,1544.97,346.60,1891.30,1542.70,348.35,1888.94
9.20,1550.30,342.45,1896.83,1548.30,344.01,1894.76
9.22,1555.48,338.35,1902.19,1553.62,339.82,1900.27
9.24,1561.44,333.55,1908.34,1553.62,339.82,1900.27
9.26,1566.97,329.01,1914.04,1564.60,330.96,1911.60
9.28,1571.96,324.85,1919.16,1570.00,326.50,1917.14
9.30,1577.46,320.20,1924.79,1575.50,321.87,1922.79
9.32,1585.14,313.57,1932.64,1583.32,315.15,1930.79
9.34,1597.16,302.86,1944.88,1591.23,308.19,1938.85
9.36,1601.52,298.88,1949.31,1598.96,301.23,1946.71
9.38,1606.76,294.02,1954.63,1604.08,296.51,1951.91
9.40,1614.01,287.16,1961.96,1611.73,289.34,1959.65
9.42,1619.58,281.80,1967.57,1617.56,283.76,1965.53
9.44,1626.62,274.87,1974.66,1624.36,277.11,1972.39
9.46,1631.50,269.99,1979.57,1629.75,271.75,1977.81
9.48,1639.08,262.25,1987.17,1636.97,264.42,1985.06
9.50,1643.89,257.23,1992.00,1642.04,259.16,1990.14
9.52,1651.38,249.28,1999.49,1649.30,251.51,1997.40
9.54,1656.13,244.13,2004.23,1654.31,246.11,2002.41
9.56,1663.52,235.97,2011.60,1661.47,238.26,2009.56
9.58,1668.21,230.69,2016.28,1666.41,232.72,2014.48
9.60,1675.49,222.32,2023.53,1673.47,224.66,2021.52
9.62,1680.12,216.90,2028.14,1678.34,218.99,2026.37
9.64,1684.83,211.29,2032.83,1683.07,213.40,2031.07
9.66,1689.75,205.35,2037.72,1683.07,213.40,2031.07
9.68,1694.40,199.63,2042.35,1692.43,202.07,2040.39
9.70,1699.95,192.70,2047.86,1697.18,196.17,2045.11
9.72,1703.51,188.18,2051.40,1701.91,190.22,2049.81
9.74,1708.19,182.16,2056.06,1706.48,184.37,2054.36
9.76,1713.06,175.77,2060.90,1706.48,184.37,2054.36
9.78,1717.79,169.49,2065.60,1715.54,172.49,2063.37
9.80,1722.36,163.29,2070.16,1720.36,166.02,2068.17
9.82,1729.11,153.96,2076.89,1726.80,157.19,2074.58
9.84,1733.17,148.25,2080.94,1731.42,150.72,2079.19
9.86,1737.84,141.55,2085.61,1737.73,141.71,2085.50
9.88,1743.77,132.89,2091.55,1742.05,135.42,2089.83
9.90,1748.04,126.52,2095.83,1746.44,128.92,2094.23
9.92,1752.38,119.95,2100.19,1750.69,122.52,2098.49
9.94,1758.66,110.23,2106.52,1757.00,112.83,2104.84
9.96,1762.39,104.34,2110.28,1761.15,106.31,2109.03
9.98,1766.71,97.42,2114.65,1761.15,106.31,2109.03
10.00,1770.88,90.61,2118.88,1769.36,93.11,2117.34
10.02,1774.91,83.91,2122.99,1773.51,86.26,2121.55
10.04,1778.81,77.34,2126.96,1777.51,79.53,2125.64
10.06,1782.67,70.71,2130.91,1781.48,72.75,2129.70
10.08,1786.88,63.34,2135.24,1785.41,65.92,2133.73
10.10,1791.14,55.75,2139.63,1789.50,58.69,2137.94
10.12,1796.48,46.01,2145.17,1795.07,48.61,2143.70
10.14,1800.51,38.50,2149.37,1799.16,41.03,2147.96
10.16,1805.28,29.43,2154.37,1804.14,31.63,2153.17
10.18,1808.41,23.36,2157.66,1807.53,25.08,2156.73
10.20,1812.27,15.74,2161.75,1811.39,17.48,2160.82
10.22,1814.26,11.75,2163.86,1813.68,12.91,2163.25
10.24,1816.42,7.36,2166.17,1815.97,8.29,2165.68
10.26,1817.28,5.61,2167.09,1817.01,6.16,2166.80
10.28,1817.82,4.50,2167.66,1817.68,4.79,2167.51
10.30,1818.15,3.83,2168.01,1818.07,3.98,2167.93
10.32,1818.30,3.51,2168.18,1818.27,3.58,2168.14
10.34,1818.34,3.44,2168.21,1818.33,3.45,2168.21
10.36,1818.34,3.44,2168.21,1818.34,3.44,2168.21
10.38,1818.34,3.44,2168.21,1818.34,3.44,2168.21
